schema,col_tinyint,col_smallint,col_int,col_bigint,col_tinyint_unsigned,col_smallint_unsigned,col_int_unsigned,col_bigint_unsigned,col_float,col_double,col_decimal,col_timestamp,col_datetime,col_date,col_time,col_blob,col_binary,col_json,col_boolean,col_varchar,col_char,col_text
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_a,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_a,char_val,text_from_schema_a
schema_b,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_b,char_val,text_from_schema_b
schema_b,-128,-32768,-2147483648,-9223372036854775808,255,65535,4294967295,18446744073709551615,3.14,3.141592653589793,12345.67,2025-12-29 12:34:56,2025-12-29 12:34:56,2025-12-29,12:34:56,[5 bytes],[16 bytes],"{""key"":""value"",""number"":123}",true,varchar_from_schema_b,char_val,text_from_schema_b
